time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0,0.63,0.45,-0.59,0.98
0.01,0.69,0.35,0.45,0.89
0.02,0.45,0.09,0.96,1.06
0.03,0.33,-0.25,1.06,1.14
0.04,0.27,-0.43,1.04,1.16
0.05,0.17,-0.44,0.97,1.08
0.06,0.06,-0.45,0.99,1.09
0.07,-0.11,-0.5,0.96,1.09
0.08,-0.31,-0.58,0.8,1.04
0.089,-0.34,-0.64,0.64,0.97
0.099,-0.21,-0.6,0.58,0.86
0.109,-0.09,-0.54,0.52,0.76
0.119,-0.07,-0.45,0.48,0.67
0.129,-0.02,-0.34,0.42,0.55
0.139,-0.02,-0.24,0.29,0.38
0.149,-0.11,-0.13,-0.07,0.19
0.159,-0.19,0.04,-0.59,0.62
0.169,-0.23,0.22,-1.21,1.25
0.179,-0.18,0.29,-1.72,1.75
0.189,-0.09,0.32,-1.97,2
0.199,-0.11,0.33,-1.8,1.83
0.209,-0.05,0.3,-1.17,1.21
0.219,0.12,0.23,-0.48,0.54
0.228,0.27,0.15,0.06,0.32
0.238,0.21,0.14,0.34,0.42
0.248,0.01,0.16,0.32,0.36
0.258,-0.13,0.2,0.1,0.26
0.268,-0.08,0.22,-0.15,0.28
0.278,0.09,0.15,-0.25,0.31
0.288,0.2,0.01,-0.11,0.23
0.298,0.27,-0.03,0.26,0.38
0.308,0.3,0.02,0.73,0.79
0.318,0.24,0.04,1.05,1.07
0.328,0.15,-0.01,1.02,1.03
0.338,0.13,-0.04,0.73,0.74
0.348,0.19,-0.02,0.37,0.42
0.357,0.19,-0.04,0.01,0.19
0.367,0.19,-0.04,-0.18,0.26
0.377,0.14,-0.01,-0.29,0.33
0.387,0.1,0.07,-0.42,0.43
0.397,0.13,0.18,-0.48,0.52
0.407,0.22,0.28,-0.48,0.59
0.417,0.29,0.29,-0.42,0.59
0.427,0.33,0.28,-0.28,0.51
0.437,0.36,0.27,-0.04,0.45
0.447,0.33,0.29,0.1,0.45
0.457,0.24,0.31,0.1,0.41
0.467,0.11,0.36,0.04,0.38
0.477,0.03,0.39,0.03,0.4
0.487,-0.09,0.33,-0.08,0.35
0.497,-0.23,0.22,-0.25,0.41
0.506,-0.33,0.18,-0.42,0.56
0.516,-0.41,0.27,-0.53,0.72
0.526,-0.44,0.34,-0.52,0.77
0.536,-0.47,0.35,-0.51,0.78
0.546,-0.54,0.28,-0.32,0.68
0.556,-0.65,0.23,0.13,0.7
0.566,-0.78,0.18,0.31,0.86
0.576,-0.84,0.15,0.15,0.87
0.586,-0.92,0.14,-0.15,0.94
0.596,-1.09,0.29,-0.51,1.24
0.606,-1.26,0.54,-0.86,1.62
0.616,-1.27,0.67,-1.3,1.93
0.626,-1.09,0.7,-1.79,2.21
0.636,-0.87,0.75,-2.14,2.43
0.645,-0.69,0.79,-1.88,2.15
0.655,-0.48,0.73,-0.59,1.06
0.665,-0.22,0.45,0.7,0.86
0.675,-0.01,0.31,2.05,2.08
0.685,0.33,0.49,2.11,2.19
0.695,0.3,0.71,1.24,1.46
0.705,-0.54,0.12,0.07,0.56
0.715,-0.96,0.26,-0.83,1.29
0.725,-0.89,1.07,-1.12,1.79
0.735,-0.65,1.77,-0.61,1.98
0.745,-0.33,2.18,-0.11,2.2
0.755,0.17,2.05,-0.32,2.09
0.765,0.26,1.84,-0.57,1.94
0.774,0.4,1.4,-0.37,1.5
0.785,0.83,1.03,0.07,1.32
0.794,1.07,0.94,1,1.74
0.804,1.2,0.83,2.1,2.55
0.814,0.82,0.62,2.11,2.34
0.824,0.48,0.64,1.04,1.31
0.834,0.13,0.88,0.01,0.89
0.844,-0.15,1.11,-0.42,1.2
0.854,-0.03,1.05,-0.27,1.08
0.864,0.48,0.7,0.05,0.85
0.874,1.04,0.15,0.25,1.08
0.884,1.34,-0.56,0.51,1.54
0.894,1.41,-1.12,0.71,1.94
0.904,1.29,-1.33,0.71,1.98
0.914,1.21,-1.17,1.09,2
0.924,1.01,-0.9,1.68,2.15
0.934,0.9,-0.73,2.12,2.41
0.943,0.8,-0.67,2.25,2.48
0.953,0.6,-0.57,1.43,1.65
0.963,0.44,-0.37,0.25,0.63
0.973,0.49,-0.15,-1.04,1.16
0.983,0.59,0.07,-2.21,2.28
0.993,0.54,0.31,-2.99,3.05
1.003,0.49,0.56,-3.07,3.16
1.013,0.37,0.59,-2.48,2.57
1.023,0.24,0.43,-1.45,1.53
1.033,0.37,0.43,-0.26,0.62
1.043,0.65,0.46,0.67,1.04
1.053,0.9,0.38,1.04,1.43
1.063,1.37,0.36,0.34,1.45
1.072,1.66,0.45,-1.07,2.03
1.083,1.69,0.58,-2.61,3.17
1.092,1.45,0.6,-3.75,4.06
1.102,1.01,0.7,-3.92,4.11
1.112,0.7,0.81,-2.8,3
1.122,0.45,0.83,-0.97,1.35
1.132,0.31,0.75,1.23,1.48
1.142,0.15,0.81,2.87,2.99
1.152,-0.06,0.81,3.09,3.2
1.162,-0.22,0.79,1.86,2.03
1.172,-0.2,0.78,-0.42,0.91
1.182,0.09,1.12,-2.11,2.39
1.192,0.59,1.15,-2.88,3.16
1.202,1.28,0.73,-2.58,2.97
1.212,2.08,0.21,-1.52,2.58
1.221,2.88,-0.09,-0.82,3
1.231,3.66,-0.09,-0.88,3.76
1.241,4.58,0.11,-1.66,4.87
1.251,5.5,0.2,-2.49,6.04
1.261,5.5,0.18,-3.18,6.36
1.271,4.26,0.89,-3.7,5.72
1.281,1.65,1.64,-3.78,4.44
1.291,-1.16,2.11,-2.48,3.46
1.301,-3.38,2.61,0.86,4.36
1.311,-4.15,3.11,4.75,7.02
1.321,-3.39,2.78,6.99,8.25
1.331,-2.12,1.76,7.33,7.83
1.341,-0.77,0.52,6.81,6.87
1.351,0.58,-0.69,5.84,5.91
1.36,1.91,-1.36,4.25,4.85
1.37,3.08,-1.11,2.08,3.88
1.38,3.59,-0.61,0.05,3.64
1.39,3.65,0,-2.07,4.2
1.4,3.44,0.62,-3.52,4.96
1.41,2.91,1.01,-3.91,4.98
1.42,2.21,0.97,-2.81,3.7
1.43,1.6,0.93,-0.58,1.95
1.44,1.36,1.03,0.91,1.93
1.45,1.05,1.11,1.2,1.94
1.46,0.56,1.13,0.58,1.39
1.47,0.24,1.05,-0.1,1.08
1.48,0.09,0.87,0.04,0.88
1.49,-0.13,0.75,0.54,0.93
1.5,-0.54,0.84,0.01,1
1.509,-0.7,1.02,-0.99,1.58
1.519,-0.38,1.35,-1.93,2.39
1.529,-0.1,1.46,-2.27,2.7
1.539,-0.01,1.49,-1.83,2.36
1.549,0.06,1.66,-0.71,1.81
1.559,0.01,2.02,0.37,2.05
1.569,-0.24,1.95,1.34,2.37
1.579,-0.64,1.5,2.17,2.72
1.589,-1.16,0.75,2.95,3.26
1.599,-1.86,0.07,3.17,3.67
1.609,-2.19,0.13,2.54,3.35
1.619,-1.91,0.41,1.52,2.48
1.629,-1.1,0.79,0.62,1.49
1.639,-0.26,0.97,0.21,1.02
1.648,0.33,0.96,0.3,1.06
1.658,0.74,0.68,0.84,1.31
1.668,0.9,0.24,1.58,1.84
1.678,0.95,-0.22,1.93,2.16
1.688,0.79,-0.62,1.9,2.15
1.698,0.56,-0.75,1.32,1.62
1.708,0.3,-0.63,0.23,0.73
1.718,0.06,-0.38,-1.01,1.08
1.728,-0.11,0.07,-2.08,2.09
1.738,-0.42,0.55,-2.8,2.89
1.748,-0.93,0.94,-3.15,3.41
1.758,-1.43,1.21,-2.99,3.53
1.768,-1.65,1.25,-2.44,3.2
1.778,-1.34,1,-1.58,2.3
1.788,-0.64,0.57,-0.51,1
