time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003203,-0.5779,-1.3896,0.5352,1.597
0.003819,-0.4244,-1.235,0.4324,1.376
0.00972,-0.1215,-1.318,0.3242,1.363
0.010098,0.2527,-1.5607,0.2483,1.6
0.014462,0.6494,-1.8472,0.3763,1.994
0.020959,0.9531,-2.0765,0.7317,2.399
0.024853,1.1391,-2.2386,1.2136,2.79
0.029533,1.1732,-2.3723,1.7978,3.199
0.039123,1.0979,-2.4252,2.3747,3.567
0.039728,0.9842,-2.4034,2.9254,3.912
0.044902,0.8606,-2.3273,3.3454,4.165
0.049307,0.7945,-2.2945,3.6024,4.344
0.059485,0.8299,-2.3261,3.6352,4.395
0.060344,0.8919,-2.3807,3.5551,4.371
0.064724,0.92,-2.3834,3.4728,4.311
0.07066,0.9254,-2.3211,3.365,4.191
0.074268,0.9038,-2.1899,3.2416,4.015
0.079449,0.9079,-2.0233,3.1455,3.849
0.087869,0.9035,-1.8786,3.0096,3.661
0.089155,0.9428,-1.7502,2.7572,3.399
0.094497,0.9868,-1.6612,2.4168,3.094
0.099211,0.9876,-1.5533,1.9402,2.674
0.105118,0.9701,-1.4491,1.4325,2.257
0.10917,1.0358,-1.2998,1.1275,2.008
0.114144,1.271,-1.2287,1.0007,2.031
0.121566,1.5357,-1.091,0.8887,2.083
0.12431,1.6419,-0.7797,0.6901,1.944
0.129088,1.6079,-0.3129,0.5719,1.735
0.133995,1.6057,0.1477,0.5096,1.691
0.142019,1.5926,0.5213,0.3497,1.712
0.144114,1.599,0.7076,0.1451,1.755
0.149099,1.7226,0.7017,-0.0517,1.861
0.1614,1.9135,0.5035,-0.2784,1.998
0.161944,2.1453,0.1366,-0.5015,2.207
0.164143,2.3862,-0.3991,-0.7065,2.52
0.173123,2.465,-0.7352,-0.879,2.718
0.173666,2.3726,-0.805,-1.1098,2.74
0.178999,2.1334,-0.738,-1.3604,2.636
0.183814,1.8192,-0.5584,-1.5064,2.427
0.188812,1.5107,-0.2805,-1.4854,2.137
0.193748,1.2837,-0.0433,-1.5558,2.018
0.19871,1.1133,0.0955,-1.6597,2.001
0.2043,0.9839,0.184,-1.7059,1.978
0.209228,0.8799,0.3128,-1.508,1.774
0.213638,0.7895,0.4197,-1.1377,1.447
0.221554,0.6957,0.5145,-0.8394,1.205
0.22374,0.5816,0.583,-0.7328,1.102
0.228608,0.5363,0.6732,-0.6984,1.108
0.233682,0.5157,0.7517,-0.6837,1.139
0.241725,0.5384,0.7797,-0.6218,1.133
0.243707,0.6,0.7903,-0.4741,1.1
0.248657,0.6481,0.73,-0.4318,1.067
0.2651,0.6784,0.6413,-0.5615,1.089
0.265926,0.6964,0.5665,-0.7909,1.196
0.266313,0.7316,0.4865,-1.0337,1.357
