time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0,0.71,-0.01,0.18,0.73
0.01,0.66,-0.01,0.2,0.69
0.02,0.72,-0.03,0.31,0.79
0.03,0.87,-0.03,0.47,0.99
0.04,1.02,0.02,0.57,1.17
0.05,1.15,0.11,0.63,1.31
0.06,1.17,0.15,0.55,1.3
0.07,1.13,0.13,0.38,1.2
0.08,1.03,0.03,0.21,1.05
0.09,0.87,-0.11,0.09,0.88
0.1,0.72,-0.31,0.04,0.78
0.11,0.56,-0.51,-0.01,0.75
0.12,0.39,-0.73,0.02,0.83
0.13,0.26,-0.87,0.14,0.92
0.14,0.21,-0.92,0.24,0.98
0.15,0.15,-0.89,0.27,0.95
0.16,0.09,-0.79,0.25,0.84
0.17,0.06,-0.7,0.11,0.71
0.18,0.04,-0.59,-0.12,0.6
0.19,0.01,-0.41,-0.32,0.52
0.2,-0.02,-0.22,-0.46,0.51
0.21,-0.04,-0.07,-0.54,0.55
0.22,-0.02,-0.01,-0.56,0.56
0.23,0.06,-0.01,-0.52,0.52
0.24,0.16,-0.03,-0.41,0.44
0.25,0.27,0.01,-0.31,0.42
0.26,0.22,-0.07,-0.12,0.26
0.27,0.13,-0.24,0.16,0.31
0.28,-0.01,-0.4,0.45,0.6
0.29,-0.18,-0.55,0.71,0.92
0.3,-0.35,-0.6,0.85,1.1
0.31,-0.41,-0.55,0.85,1.09
0.32,-0.46,-0.5,0.74,1
0.33,-0.44,-0.39,0.57,0.82
0.34,-0.36,-0.26,0.33,0.55
0.35,-0.3,-0.09,0.15,0.35
0.36,-0.26,0.06,0.05,0.27
0.37,-0.18,0.09,-0.04,0.2
0.38,-0.11,0.1,-0.09,0.17
0.39,-0.03,0.16,-0.13,0.2
0.4,0.03,0.24,-0.12,0.27
0.41,0.06,0.29,-0.11,0.31
0.42,0.17,0.25,-0.18,0.35
0.43,0.27,0.17,-0.22,0.39
0.44,0.29,0.1,-0.25,0.4
0.45,0.26,0.06,-0.24,0.36
0.46,0.19,0.02,-0.29,0.35
0.47,0.14,-0.04,-0.36,0.39
0.48,0.15,-0.08,-0.42,0.46
0.49,0.12,-0.07,-0.54,0.56
0.5,0.07,0.04,-0.68,0.68
0.51,-0.03,0.15,-0.85,0.87
0.52,-0.08,0.25,-1.03,1.06
0.53,-0.1,0.32,-1.19,1.23
0.54,-0.17,0.33,-1.33,1.38
0.55,-0.21,0.34,-1.35,1.4
0.561,-0.31,0.33,-1.21,1.29
0.57,-0.34,0.34,-1.04,1.15
0.58,-0.34,0.35,-0.83,0.96
0.59,-0.37,0.35,-0.66,0.83
0.601,-0.35,0.38,-0.5,0.71
0.61,-0.32,0.4,-0.35,0.62
0.621,-0.33,0.42,-0.23,0.58
0.63,-0.38,0.46,-0.15,0.62
0.641,-0.46,0.48,-0.05,0.67
0.651,-0.55,0.5,0.15,0.75
0.661,-0.57,0.51,0.33,0.83
0.671,-0.52,0.61,0.38,0.89
0.681,-0.4,0.79,0.38,0.97
0.691,-0.32,1.01,0.27,1.1
0.701,-0.29,1.2,0.07,1.23
0.711,-0.26,1.26,-0.17,1.29
0.721,-0.27,1.25,-0.27,1.31
0.731,-0.34,1.23,-0.31,1.31
0.741,-0.4,1.19,-0.31,1.3
0.751,-0.5,1.15,-0.27,1.29
0.761,-0.53,1.06,-0.21,1.21
0.771,-0.6,1.01,-0.21,1.19
0.781,-0.69,0.99,-0.27,1.24
0.791,-0.81,0.93,-0.34,1.28
0.801,-0.96,0.86,-0.41,1.35
0.811,-1.07,0.72,-0.41,1.35
0.821,-1.15,0.58,-0.42,1.36
0.831,-1.38,0.54,-0.35,1.52
0.841,-1.83,0.82,-0.24,2.02
0.851,-2.06,1.18,-0.41,2.41
0.861,-1.72,1.18,-0.81,2.24
0.871,-1.16,0.96,-1.09,1.86
0.881,-0.72,0.75,-0.85,1.34
0.891,-0.59,0.6,-0.16,0.85
0.901,-0.44,0.37,0.59,0.82
0.911,-0.14,-0.17,1.28,1.3
0.921,0.16,-0.9,1.97,2.17
0.931,0.25,-1.44,2.52,2.92
0.941,0.13,-1.79,2.99,3.49
0.951,-0.01,-2.02,3.15,3.74
0.961,0.03,-2.11,2.92,3.61
0.971,0.23,-2.13,2.38,3.21
0.981,0.45,-1.95,1.65,2.59
0.991,0.5,-1.61,0.92,1.92
1.001,0.51,-1.25,0.2,1.37
1.011,0.58,-0.85,-0.53,1.16
1.021,0.67,-0.44,-1.26,1.5
1.031,0.84,-0.01,-1.92,2.09
1.041,1.03,0.42,-2.43,2.67
1.051,1.28,0.76,-2.79,3.16
1.061,1.64,1.02,-2.91,3.49
1.071,2.04,1.14,-2.69,3.56
1.081,2.42,1.07,-2.09,3.38
1.091,2.66,0.77,-1.33,3.07
1.101,2.72,0.22,-0.56,2.79
1.111,2.57,-0.37,0.02,2.59
1.121,2.22,-0.83,0.47,2.42
1.131,1.8,-1.19,0.76,2.29
1.141,1.36,-1.4,0.89,2.14
1.151,0.99,-1.45,0.84,1.94
1.161,0.81,-1.4,0.72,1.77
1.171,0.8,-1.27,0.6,1.61
1.181,0.93,-0.99,0.5,1.45
1.191,1.08,-0.63,0.35,1.3
1.201,1.19,-0.27,0.04,1.22
1.211,1.23,0.05,-0.44,1.31
1.221,1.15,0.29,-1,1.55
1.231,0.87,0.42,-1.46,1.75
1.241,0.43,0.42,-1.83,1.93
1.251,0,0.28,-2.02,2.03
1.261,-0.43,0.1,-1.95,2
1.271,-0.87,-0.15,-1.75,1.96
1.281,-1.26,-0.34,-1.57,2.04
1.291,-1.5,-0.41,-1.5,2.16
1.301,-1.64,-0.42,-1.51,2.27
1.311,-1.63,-0.36,-1.58,2.3
1.321,-1.61,-0.2,-1.6,2.28
1.331,-1.58,-0.01,-1.49,2.17
1.341,-1.53,0.09,-1.28,2
1.351,-1.46,0.16,-0.94,1.74
1.361,-1.35,0.23,-0.52,1.46
1.371,-1.22,0.36,-0.13,1.28
1.381,-1.01,0.51,0.27,1.17
1.391,-0.86,0.65,0.61,1.24
1.401,-0.72,0.81,0.83,1.37
1.411,-0.52,1.03,1.03,1.55
1.421,-0.23,1.3,1.14,1.75
1.431,0.09,1.61,1.2,2.01
1.441,0.47,1.92,1.21,2.32
1.451,0.85,2.14,1.14,2.57
1.461,1.14,2.27,1.02,2.74
1.471,1.31,2.28,0.89,2.78
1.481,1.39,2.16,0.81,2.69
1.492,1.37,1.87,0.88,2.48
1.501,1.31,1.54,1.1,2.3
1.511,1.35,1.14,1.33,2.21
1.521,1.39,0.76,1.52,2.2
1.532,1.33,0.43,1.73,2.22
1.542,1.21,0.14,1.79,2.16
1.551,0.92,-0.05,1.68,1.91
1.562,0.34,-0.05,1.36,1.41
1.572,-0.34,0.26,0.79,0.9
1.582,-0.64,0.49,0.11,0.82
1.592,-0.54,0.48,-0.5,0.88
1.601,-0.37,0.43,-1,1.14
1.612,-0.41,0.49,-1.16,1.33
1.622,-0.53,0.5,-1.06,1.28
1.632,-0.51,0.19,-0.67,0.86
1.642,-0.33,-0.5,0.18,0.62
1.651,-0.15,-1.33,1.2,1.8
1.662,-0.21,-1.98,2.23,2.99
1.672,-0.53,-2.36,3.16,3.98
1.682,-0.89,-2.42,3.84,4.62
1.692,-0.96,-2.29,4.02,4.73
1.702,-0.71,-2.12,3.55,4.2
1.712,-0.22,-1.9,2.39,3.06
1.722,0.14,-1.51,1.11,1.88
1.732,0.16,-1.05,0.08,1.07
1.742,-0.06,-0.61,-0.78,1
1.752,-0.32,-0.27,-1.58,1.63
1.762,-0.56,-0.04,-2.27,2.34
1.772,-0.73,0.1,-2.8,2.9
1.782,-0.81,0.22,-3.09,3.21
1.792,-0.93,0.24,-3.13,3.28
1.802,-1.06,0.15,-2.86,3.05
1.812,-1.04,-0.02,-2.16,2.4
1.822,-0.91,-0.32,-1.3,1.61
1.832,-0.62,-0.69,-0.51,1.06
1.842,-0.35,-1,0.22,1.08
1.852,-0.14,-1.26,0.95,1.58
1.862,-0.04,-1.49,1.6,2.19
1.872,-0.07,-1.72,2.08,2.7
1.882,-0.21,-1.85,2.31,2.97
1.892,-0.39,-1.9,2.32,3.03
1.902,-0.57,-1.87,2.05,2.83
1.912,-0.68,-1.78,1.48,2.41
1.922,-0.7,-1.55,0.75,1.86
1.932,-0.69,-1.19,0.08,1.38
1.942,-0.67,-0.82,-0.48,1.16
1.952,-0.67,-0.5,-0.93,1.25
1.962,-0.62,-0.21,-1.28,1.44
1.972,-0.61,0.06,-1.52,1.64
1.982,-0.62,0.29,-1.69,1.82
1.992,-0.66,0.45,-1.81,1.98
2.002,-0.72,0.61,-1.83,2.06
2.012,-0.78,0.72,-1.78,2.07
2.022,-0.86,0.81,-1.66,2.04
2.032,-0.91,0.8,-1.47,1.9
2.042,-1,0.75,-1.2,1.73
2.052,-1.08,0.65,-0.89,1.54
2.062,-1.12,0.56,-0.58,1.38
2.072,-1.16,0.48,-0.35,1.3
2.082,-1.2,0.47,-0.19,1.3
2.092,-1.27,0.5,-0.13,1.37
2.102,-1.36,0.56,-0.2,1.48
2.112,-1.42,0.61,-0.37,1.59
2.122,-1.48,0.64,-0.55,1.7
2.132,-1.52,0.69,-0.71,1.81
2.142,-1.53,0.72,-0.79,1.86
2.152,-1.46,0.78,-0.83,1.85
2.162,-1.3,0.8,-0.82,1.73
2.172,-1.13,0.78,-0.73,1.55
2.182,-0.95,0.72,-0.5,1.3
2.192,-0.83,0.58,-0.18,1.03
2.202,-0.71,0.41,0.14,0.83
2.212,-0.7,0.2,0.38,0.82
2.222,-0.72,-0.03,0.61,0.94
2.232,-0.73,-0.18,0.74,1.06
2.242,-0.74,-0.26,0.76,1.09
2.252,-0.73,-0.35,0.61,1.02
2.262,-0.7,-0.39,0.52,0.95
2.272,-0.61,-0.39,0.49,0.88
2.282,-0.6,-0.35,0.62,0.93
2.292,-0.83,-0.05,0.9,1.22
2.302,-1.24,0.54,0.98,1.67
2.313,-1.16,0.87,0.42,1.51
2.322,-0.51,0.97,-0.52,1.21
2.332,0.33,1.23,-1.47,1.95
2.342,1.06,1.63,-2,2.79
2.352,1.6,1.9,-1.94,3.16
2.362,1.89,1.61,-1.14,2.73
2.372,1.85,0.62,0.31,1.97
2.382,1.7,-0.68,1.87,2.62
2.392,1.48,-1.85,3.35,4.11
2.402,1.02,-2.58,4.46,5.26
2.413,0.4,-2.77,4.94,5.68
2.422,0.05,-2.61,4.86,5.52
