time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002489,-0.5434,0.0796,0.0967,0.558
0.002812,-0.5696,0.1669,0.0793,0.599
0.013547,-0.5909,0.2476,0.0245,0.641
0.015502,-0.5886,0.2983,-0.0722,0.664
0.015753,-0.6195,0.3197,-0.1632,0.716
0.028283,-0.6404,0.336,-0.2486,0.765
0.028649,-0.6795,0.3428,-0.2953,0.816
0.028928,-0.7219,0.3641,-0.2942,0.86
0.041066,-0.7725,0.3807,-0.2978,0.911
0.041497,-0.8027,0.3831,-0.2872,0.935
0.04322,-0.8364,0.3855,-0.2955,0.967
0.047992,-0.8787,0.3829,-0.3132,1.008
0.073787,-0.9105,0.4132,-0.321,1.05
0.074429,-0.9227,0.4713,-0.3332,1.088
0.074771,-0.944,0.5378,-0.3213,1.133
0.075286,-0.9509,0.589,-0.3282,1.166
0.075776,-0.9579,0.6345,-0.3443,1.199
0.083602,-0.9697,0.6745,-0.3649,1.236
0.08434,-0.9911,0.6855,-0.3995,1.27
0.09362,-1.0124,0.7061,-0.4291,1.307
0.094448,-1.0571,0.708,-0.4491,1.349
0.098074,-1.0824,0.7058,-0.4693,1.375
0.109365,-1.0977,0.6903,-0.4706,1.379
0.110088,-1.1265,0.6428,-0.4533,1.374
0.113266,-1.145,0.5874,-0.413,1.352
0.128616,-1.1532,0.5432,-0.3639,1.326
0.129185,-1.1702,0.5056,-0.3112,1.312
0.129532,-1.1864,0.4743,-0.2451,1.301
0.145074,-1.1974,0.4255,-0.1516,1.28
0.1458,-1.2127,0.3878,-0.0452,1.274
0.146163,-1.2087,0.3561,0.0362,1.261
0.147931,-1.1856,0.3349,0.1118,1.237
0.176435,-1.1342,0.3096,0.1772,1.189
0.176958,-1.0974,0.2942,0.2418,1.162
0.177374,-1.0276,0.2979,0.2918,1.109
0.177635,-0.9774,0.3156,0.3034,1.071
0.177952,-0.9274,0.3471,0.3198,1.041
0.17821,-0.8585,0.4016,0.3364,1.006
0.182557,-0.7899,0.4454,0.3152,0.96
0.195817,-0.7404,0.4977,0.2945,0.94
0.196537,-0.6911,0.563,0.2412,0.923
0.197483,-0.6561,0.6173,0.1888,0.92
0.209311,-0.6448,0.6703,0.1087,0.936
0.20987,-0.6285,0.741,0.0108,0.972
0.213419,-0.6261,0.8008,-0.0763,1.019
0.228433,-0.6092,0.8311,-0.1482,1.041
0.229082,-0.5731,0.8748,-0.2239,1.069
0.229428,-0.5227,0.8892,-0.3082,1.077
0.232928,-0.5056,0.9129,-0.3964,1.116
0.24415,-0.493,0.9315,-0.4458,1.144
0.244777,-0.4803,0.9405,-0.49,1.164
0.24725,-0.477,0.9258,-0.5053,1.158
0.27752,-0.4833,0.9255,-0.4921,1.154
0.278337,-0.48,0.9396,-0.4932,1.165
0.278688,-0.477,0.9441,-0.5228,1.18
0.279091,-0.4503,0.9248,-0.5521,1.167
0.279405,-0.4382,0.9151,-0.6192,1.189
0.279876,-0.3932,0.9386,-0.6713,1.219
0.283498,-0.3866,0.9573,-0.7468,1.274
0.29422,-0.3802,0.9997,-0.798,1.334
0.294905,-0.3788,1.0326,-0.8252,1.375
0.297273,-0.3918,1.042,-0.8572,1.405
0.311679,-0.4098,1.0424,-0.8798,1.424
0.312384,-0.4397,1.0109,-0.9216,1.437
0.313316,-0.4508,0.9851,-0.9686,1.453
0.317295,-0.467,0.9698,-0.973,1.451
0.328526,-0.5074,0.946,-0.973,1.449
0.329296,-0.5195,0.9278,-0.9832,1.448
