time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0,1.04,-0.22,-0.13,1.07
0.01,1.44,-0.98,0.48,1.8
0.02,1.29,-1.21,0.55,1.85
0.03,0.87,-0.89,0.32,1.29
0.04,0.83,-0.48,0.18,0.98
0.05,0.97,-0.22,0.13,1
0.06,0.96,0.08,0.02,0.97
0.07,0.86,0.29,-0.15,0.92
0.079,1.01,0.36,-0.13,1.08
0.089,1.39,0.43,-0.15,1.47
0.099,1.65,0.49,-0.34,1.75
0.109,1.75,0.36,-0.44,1.84
0.119,1.67,0.01,-0.27,1.69
0.129,1.53,-0.47,0.35,1.63
0.139,1.45,-1,1.34,2.21
0.149,1.35,-1.49,2.41,3.13
0.159,1.06,-1.85,3.31,3.93
0.169,0.61,-2.09,3.84,4.42
0.179,0.11,-2.06,4.01,4.51
0.189,-0.25,-1.89,3.67,4.13
0.199,-0.18,-1.62,2.7,3.16
0.209,0.19,-1.16,1.47,1.88
0.219,0.54,-0.43,0.3,0.75
0.228,0.9,0.41,-0.62,1.17
0.238,1.34,1.07,-1.24,2.12
0.248,1.67,1.44,-1.59,2.72
0.258,1.75,1.58,-1.63,2.86
0.268,1.53,1.48,-1.42,2.56
0.278,1.16,1.17,-1.07,1.97
0.288,0.86,0.89,-0.62,1.39
0.298,0.58,0.51,-0.15,0.78
0.308,0.27,0.01,0.33,0.43
0.318,-0.02,-0.39,0.7,0.8
0.328,-0.28,-0.63,0.69,0.98
0.338,-0.54,-0.74,0.3,0.96
0.348,-0.69,-0.68,-0.24,0.99
0.357,-0.78,-0.46,-0.8,1.21
0.368,-0.91,-0.16,-1.19,1.51
0.377,-0.87,0.16,-1.43,1.68
0.387,-0.63,0.32,-1.86,1.99
0.397,-0.46,0.44,-2.26,2.34
0.407,-0.4,0.65,-2.49,2.6
0.417,-0.43,0.81,-2.63,2.78
0.427,-0.6,0.86,-2.68,2.88
0.437,-0.83,0.83,-2.65,2.9
0.447,-1.03,0.65,-2.61,2.88
0.457,-1.21,0.45,-2.38,2.71
0.467,-1.35,0.31,-2.2,2.6
0.477,-1.43,0.21,-2.12,2.56
0.487,-1.42,0.21,-1.97,2.44
0.496,-1.38,0.42,-1.76,2.28
0.507,-1.33,0.71,-1.53,2.15
0.516,-1.31,1.03,-1.26,2.09
0.526,-1.41,1.27,-0.98,2.14
0.536,-1.56,1.42,-0.68,2.21
0.546,-1.75,1.42,-0.36,2.29
0.556,-2.03,1.38,-0.1,2.46
0.566,-2.3,1.31,0.05,2.65
0.576,-2.58,1.26,0.1,2.88
0.586,-2.8,1.3,0.21,3.1
0.596,-2.9,1.41,0.33,3.24
0.606,-2.83,1.57,0.4,3.26
0.616,-2.68,1.77,0.69,3.28
0.626,-2.5,1.86,1.2,3.34
0.636,-2.32,1.79,1.95,3.52
0.646,-2,1.61,2.73,3.75
0.656,-1.73,1.31,3.4,4.03
0.665,-1.68,1.12,3.91,4.4
0.675,-1.89,1.13,4.07,4.63
0.685,-2.07,1.26,3.95,4.63
0.695,-1.99,1.36,3.67,4.39
0.705,-1.68,1.53,3.3,4
0.715,-1.25,1.75,2.94,3.65
0.725,-0.76,1.92,2.88,3.55
0.735,-0.36,1.92,3.12,3.68
0.745,-0.26,1.65,3.61,3.98
0.755,-0.53,1.16,4.2,4.39
0.765,-0.85,0.5,4.54,4.65
0.775,-1.15,-0.16,4.51,4.65
0.785,-1.29,-0.67,4.16,4.41
