time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002759,-0.2034,0.2208,0.026,0.301
0.003182,-0.1356,0.2127,0.0025,0.252
0.003357,-0.1605,0.1878,0.034,0.249
0.003535,-0.2065,0.1553,-0.0031,0.258
0.003829,-0.1881,0.1664,0.0193,0.252
0.004002,-0.1768,0.1585,-0.0132,0.238
0.004183,-0.1448,0.1716,0.0033,0.225
0.004382,-0.1507,0.1687,0.0016,0.226
0.004551,-0.1901,0.1789,-0.0131,0.261
0.004725,-0.1818,0.1571,0.0202,0.241
0.004886,-0.1805,0.1872,-0.0033,0.26
0.009849,-0.1288,0.1873,-0.025,0.229
0.010399,-0.1279,0.1674,0.0045,0.211
0.010621,-0.1676,0.1734,-0.017,0.242
0.010822,-0.1425,0.1534,-0.0116,0.21
0.015227,-0.165,0.1718,-0.0263,0.24
0.015707,-0.1329,0.2015,-0.0496,0.246
0.016034,-0.1389,0.1616,-0.0082,0.213
0.016363,-0.1787,0.1996,0.0062,0.268
0.016557,-0.1643,0.2191,-0.0184,0.275
0.017217,-0.1801,0.2062,0.023,0.275
0.023335,-0.1758,0.2099,-0.0383,0.276
0.023851,-0.1916,0.2326,-0.0336,0.303
0.024195,-0.1277,0.193,-0.0533,0.238
0.024535,-0.1606,0.2108,-0.0427,0.268
0.02488,-0.1494,0.2124,-0.054,0.265
0.025261,-0.1792,0.227,-0.0552,0.294
0.026223,-0.1331,0.2254,-0.0783,0.273
0.027101,-0.1337,0.2338,-0.0839,0.282
0.028192,-0.1327,0.2013,-0.0661,0.25
0.029722,-0.1366,0.2379,-0.0723,0.284
0.030804,-0.1544,0.2459,-0.1003,0.307
0.032127,-0.139,0.2496,-0.098,0.302
0.033334,-0.1565,0.2305,-0.1168,0.302
0.034462,-0.1463,0.2663,-0.1227,0.328
0.038939,-0.1468,0.2836,-0.1542,0.355
0.039333,-0.1163,0.2724,-0.1718,0.342
0.039549,-0.1353,0.2852,-0.1277,0.341
0.039742,-0.1479,0.2706,-0.1593,0.347
0.040917,-0.1867,0.267,-0.1584,0.362
0.041945,-0.1477,0.2392,-0.1883,0.338
0.043536,-0.1671,0.2627,-0.141,0.342
0.044661,-0.1586,0.3059,-0.1665,0.383
0.04567,-0.1554,0.2814,-0.1791,0.368
0.047159,-0.1202,0.2899,-0.1877,0.366
0.048157,-0.1601,0.3017,-0.2274,0.41
0.049394,-0.161,0.2638,-0.2264,0.383
0.050802,-0.1632,0.2517,-0.2118,0.367
0.053699,-0.1759,0.2755,-0.2026,0.385
0.054262,-0.158,0.2597,-0.2256,0.379
0.054501,-0.2008,0.2321,-0.2517,0.397
0.05576,-0.1337,0.2782,-0.2757,0.414
0.05712,-0.1589,0.2733,-0.2487,0.402
0.057958,-0.1748,0.2524,-0.2287,0.383
0.059226,-0.1947,0.2607,-0.2708,0.423
0.06047,-0.2158,0.2333,-0.3059,0.441
0.061736,-0.1657,0.2617,-0.3119,0.44
0.06306,-0.1788,0.2451,-0.284,0.416
0.064484,-0.1761,0.2367,-0.3311,0.443
0.0656,-0.1663,0.2454,-0.3337,0.446
0.066964,-0.1944,0.227,-0.3329,0.447
0.070723,-0.2006,0.2275,-0.3321,0.45
0.071152,-0.2266,0.2342,-0.3332,0.466
0.071399,-0.1931,0.2433,-0.3557,0.472
0.071806,-0.1953,0.2109,-0.3329,0.44
0.072925,-0.2134,0.2196,-0.3681,0.479
0.074288,-0.1887,0.2251,-0.3653,0.469
0.075577,-0.1606,0.1906,-0.3614,0.439
0.076639,-0.2108,0.1864,-0.3457,0.446
0.077778,-0.2099,0.1783,-0.3532,0.448
0.079421,-0.1871,0.194,-0.3544,0.445
0.080364,-0.1815,0.1708,-0.3278,0.412
0.081698,-0.1753,0.2054,-0.3555,0.446
0.082966,-0.2034,0.1941,-0.3138,0.421
0.084131,-0.1956,0.1689,-0.3282,0.418
0.086952,-0.2013,0.1845,-0.3205,0.421
0.08728,-0.2123,0.1713,-0.2819,0.392
0.08791,-0.2063,0.204,-0.3121,0.426
0.089277,-0.1934,0.1498,-0.2755,0.368
0.09061,-0.2063,0.1634,-0.2685,0.376
0.092022,-0.2482,0.1703,-0.2848,0.414
0.092986,-0.2091,0.1661,-0.2342,0.355
0.094139,-0.2151,0.1389,-0.2476,0.356
0.095548,-0.2283,0.1305,-0.242,0.357
0.096728,-0.2422,0.1195,-0.2675,0.38
0.097863,-0.2221,0.1185,-0.2219,0.336
0.099266,-0.2608,0.0958,-0.1895,0.336
0.100482,-0.2581,0.0707,-0.2012,0.335
0.104214,-0.2277,0.0968,-0.1767,0.304
0.104859,-0.2334,0.0881,-0.1523,0.292
0.105166,-0.2459,0.0803,-0.13,0.29
0.105626,-0.2317,0.0466,-0.1528,0.281
0.106618,-0.2206,0.0579,-0.1405,0.268
0.108259,-0.2155,0.0355,-0.1762,0.281
0.109133,-0.2352,0.0687,-0.1519,0.288
0.11042,-0.1926,0.046,-0.1398,0.242
0.111424,-0.241,0.0663,-0.1074,0.272
0.112624,-0.2823,0.0448,-0.1052,0.305
0.114001,-0.2635,0.0533,-0.0929,0.284
0.115269,-0.27,0.0249,-0.0857,0.284
0.116442,-0.2648,0.0517,-0.0914,0.285
0.11763,-0.2479,0.0423,-0.0512,0.257
0.123619,-0.2151,0.0657,-0.0509,0.231
0.124034,-0.2505,0.0134,-0.0424,0.254
0.124642,-0.2815,0.0042,-0.0423,0.285
0.125073,-0.2514,0.0179,-0.0153,0.253
0.125336,-0.2812,0.0078,-0.0183,0.282
0.125561,-0.2452,0.0194,-0.0331,0.248
0.12651,-0.2625,0.0002,-0.0491,0.267
0.127541,-0.2465,0.003,-0.0281,0.248
0.128804,-0.2349,-0.0069,-0.0161,0.236
0.130269,-0.2192,0.0118,-0.035,0.222
0.131278,-0.2078,0.0014,-0.0544,0.215
0.132579,-0.2203,0.0221,-0.0513,0.227
0.133698,-0.1673,0.0129,-0.0681,0.181
0.140449,-0.175,0.0216,-0.0369,0.18
0.14099,-0.1708,0.0128,-0.0504,0.179
0.141345,-0.1956,-0.0143,-0.0644,0.206
0.141667,-0.1586,0.0073,-0.0913,0.183
0.141863,-0.1648,-0.0098,-0.0861,0.186
0.142241,-0.1377,-0.0374,-0.1163,0.184
0.142593,-0.13,-0.0325,-0.1162,0.177
0.143759,-0.1195,-0.0068,-0.1041,0.159
0.145049,-0.1275,-0.0255,-0.1495,0.198
0.146254,-0.1079,-0.0566,-0.1494,0.193
0.147585,-0.0428,-0.0687,-0.1374,0.159
