time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002246,0.5152,0.3593,1.3434,1.483
0.002816,0.5497,0.3927,1.6592,1.791
0.011321,0.542,0.4524,1.885,2.013
0.028046,0.5869,0.633,2.0239,2.2
0.032134,1.0121,0.8428,1.8011,2.231
0.04101,1.664,0.8742,1.4602,2.38
0.050939,2.0659,0.8236,1.1537,2.505
0.064529,1.8756,0.7534,0.9257,2.223
0.070182,1.2543,0.6573,0.8001,1.626
0.079332,0.6642,0.5473,0.6564,1.082
0.090464,0.3821,0.4036,0.4089,0.69
0.098139,0.3284,0.3191,0.1383,0.478
0.10889,0.3049,0.2823,-0.0716,0.422
0.118603,0.2384,0.2174,-0.2142,0.387
0.127785,0.149,0.2023,-0.272,0.37
0.138336,0.1138,0.1754,-0.2141,0.299
0.149416,0.1308,0.1126,-0.0824,0.191
0.161889,0.2083,0.0571,0.0351,0.219
0.166637,0.3479,-0.006,0.1079,0.364
0.186557,0.475,-0.1391,0.1798,0.527
0.187149,0.5478,-0.2725,0.2745,0.671
0.195785,0.6848,-0.3933,0.3042,0.846
0.208328,0.7516,-0.4531,0.2275,0.907
0.21553,0.7846,-0.4539,0.0885,0.911
0.225068,0.8234,-0.4405,-0.0849,0.938
0.235079,0.9255,-0.4136,-0.2948,1.056
0.255259,1.0662,-0.4219,-0.5136,1.256
0.255837,1.158,-0.4298,-0.6958,1.418
0.273278,1.1233,-0.4669,-0.718,1.413
0.273609,0.9507,-0.4956,-0.656,1.257
0.28358,0.8079,-0.4811,-0.5896,1.11
0.293187,0.7278,-0.5014,-0.5681,1.051
0.302076,0.6293,-0.5357,-0.6259,1.037
0.314098,0.4884,-0.5724,-0.6832,1.016
0.323046,0.3143,-0.5458,-0.7552,0.983
0.332359,0.1583,-0.5312,-0.8438,1.01
0.344368,0.0101,-0.5026,-0.9229,1.051
0.35132,-0.1874,-0.4391,-0.9777,1.088
0.363438,-0.3218,-0.3429,-1.0442,1.145
0.370858,-0.442,-0.2329,-1.1054,1.213
0.381015,-0.5145,-0.0886,-1.0773,1.197
0.392278,-0.5125,0.078,-1.0612,1.181
0.400607,-0.4028,0.3041,-1.0895,1.201
0.421782,-0.2116,0.5339,-1.1056,1.246
0.422468,0.0093,0.76,-1.1251,1.358
0.429681,0.1767,1.0037,-1.1522,1.538
0.444531,0.3346,1.1934,-1.0921,1.652
0.448472,0.4375,1.2777,-1.0282,1.697
0.462829,0.4501,1.349,-0.9041,1.685
0.467792,0.4335,1.3363,-0.7192,1.578
0.47799,0.3838,1.2219,-0.4598,1.361
0.488642,0.2903,1.1076,-0.1655,1.157
0.497187,0.1414,0.9985,0.0933,1.013
0.522071,-0.0353,0.9132,0.3295,0.971
0.52351,-0.2528,0.8178,0.5273,1.005
0.538022,-0.442,0.7382,0.6332,1.068
0.539349,-0.4902,0.7301,0.6864,1.116
0.552967,-0.4236,0.7437,0.7433,1.134
0.55517,-0.2881,0.7584,0.8551,1.179
0.565912,-0.2178,0.773,1.0636,1.333
0.582226,-0.3511,0.748,1.4343,1.655
0.584986,-0.64,0.6752,1.9071,2.122
0.59451,-0.8927,0.4911,2.3823,2.591
0.604889,-1.2129,0.2964,2.7889,3.056
0.614302,-1.4428,0.2795,2.9289,3.277
0.626892,-1.0929,0.3756,2.707,2.943
0.633961,-0.4008,0.4552,2.288,2.367
0.648324,0.021,0.5388,1.9126,1.987
0.652854,0.0417,0.5949,1.6471,1.752
0.662946,-0.167,0.4877,1.4796,1.567
0.674128,-0.3171,0.2429,1.3049,1.365
0.681155,-0.4642,-0.1108,1.123,1.22
0.691331,-0.6666,-0.5393,0.9397,1.272
0.700456,-1.0019,-0.8766,0.8024,1.554
0.716744,-1.3893,-1.1482,0.7324,1.945
0.72031,-1.766,-1.3475,0.7507,2.345
0.733555,-1.9164,-1.4151,0.8438,2.527
0.745556,-1.7254,-1.3187,0.8993,2.351
0.74986,-1.151,-1.1779,0.8131,1.837
0.759943,-0.5191,-0.9705,0.6691,1.288
