time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002782,-0.0933,1.2916,-2.2202,2.57
0.015549,-0.4999,1.3304,-2.2847,2.691
0.020467,-0.7792,1.3083,-2.2093,2.683
0.029058,-0.8159,1.5073,-2.0249,2.653
0.039376,-0.6496,1.8173,-1.7702,2.619
0.049377,-0.2777,2.0497,-1.5182,2.566
0.061645,-0.0221,2.2031,-1.196,2.507
0.069512,-0.0415,2.4031,-0.7231,2.51
0.078747,-0.4335,2.5995,-0.2325,2.646
0.088688,-1.0917,2.7004,-0.0881,2.914
0.104594,-1.6134,2.7848,-0.4184,3.246
0.108754,-1.9384,3.0986,-0.9773,3.783
0.118341,-2.1073,3.4522,-1.2882,4.245
0.126973,-2.3864,3.6833,-1.1716,4.542
0.136609,-2.8412,3.8787,-0.565,4.841
0.156867,-3.1855,4.0589,0.1788,5.163
0.15757,-3.3029,4.1936,1.2113,5.474
0.166458,-3.4461,4.2122,2.6654,6.06
0.17581,-3.5101,3.9666,4.1627,6.737
0.185565,-3.3415,3.3075,5.4336,7.185
0.199325,-3.0173,2.7371,6.2973,7.5
0.206375,-3.0855,3.1253,7.5657,8.748
0.214167,-2.2867,3.1731,8.859,9.684
0.22418,-2.7355,2.6012,9.553,10.272
0.233816,-2.4895,2.0346,9.5132,10.042
0.245348,-2.5047,1.89,8.4654,9.028
0.254084,-2.803,1.9148,7.543,8.272
0.263421,-2.0266,2.344,6.0839,6.828
0.273324,-0.6904,3.2345,2.9828,4.454
0.283171,-0.5219,3.6492,0.569,3.73
0.305961,-0.9852,4.1301,0.444,4.269
0.306772,-0.1186,4.539,-0.1198,4.542
0.324079,0.437,4.2719,0.1661,4.297
0.324766,0.5713,3.4912,1.0234,3.683
0.331078,0.5743,2.4163,2.7159,3.68
0.340237,0.0164,1.6645,4.2755,4.588
0.351005,-0.5116,1.0309,4.8947,5.028
0.36486,-0.7529,0.4377,4.5471,4.63
0.369472,-1.2632,-0.9705,3.5441,3.886
0.379004,-2.8426,-1.4609,1.3244,3.46
0.389189,-4.2945,0.4549,-1.7731,4.668
0.399894,-4.8028,0.5513,-2.8637,5.619
0.411998,-2.9974,-0.5711,-2.7376,4.099
0.418427,-1.7669,-0.9664,-2.4993,3.21
0.428313,-2.1703,-1.3155,-1.0167,2.734
0.438271,-1.8606,-1.2548,0.6588,2.339
0.447766,0.4885,-1.1723,-0.0927,1.273
0.458615,2.0084,-1.2852,0.445,2.426
0.468093,2.8855,-1.3673,0.6749,3.264
0.477994,3.2622,-1.6165,-0.1314,3.643
0.486377,3.0943,-1.8366,-1.1819,3.787
0.501478,2.7835,-2.0629,-2.0943,4.048
0.505675,2.3877,-2.5959,-2.8212,4.516
0.520539,2.1776,-3.1211,-3.6771,5.292
0.528454,1.8732,-3.4232,-4.4735,5.936
0.534607,1.274,-3.7239,-4.9446,6.32
0.544273,0.2321,-4.0477,-5.2072,6.599
0.555151,-0.3782,-4.5205,-5.3183,6.99
0.565041,-0.0224,-4.6141,-5.5007,7.18
0.573765,-0.4881,-3.9049,-6.1045,7.263
0.584491,-0.5249,-3.0899,-6.1846,6.933
0.598329,1.4843,-2.9588,-5.0565,6.044
0.602786,2.972,-2.7299,-3.9529,5.649
0.615689,3.3101,-2.2977,-3.0966,5.082
0.623409,3.3527,-1.9073,-2.553,4.626
0.632065,3.397,-1.5418,-2.0849,4.274
0.640751,3.7223,-1.1167,-1.7366,4.257
0.651981,4.1323,-0.8963,-1.8849,4.629
0.661844,4.3527,-1.2813,-2.7751,5.319
0.671653,4.1189,-1.6162,-3.3933,5.576
0.680578,3.7994,-1.4759,-3.1562,5.155
0.691297,3.5192,-1.3304,-3.1678,4.918
0.69941,3.1928,-1.4136,-3.4696,4.922
0.710537,2.5892,-1.5935,-3.9771,5.006
0.722635,1.553,-1.682,-4.3388,4.906
0.729222,-0.0017,-1.6515,-4.2183,4.53
0.739225,-1.9601,-1.6585,-3.3191,4.196
0.74909,-2.513,-1.6765,-2.3519,3.829
0.758432,-2.2288,-1.4304,-1.1144,2.873
0.768262,-3.5803,0.6217,-0.5952,3.682
0.778849,-3.7168,2.4746,-4.0955,6.059
0.787787,-0.7279,1.9794,-7.3632,7.659
0.806447,-1.1039,1.0436,-6.1858,6.37
0.807152,-0.2753,3.3022,-4.5255,5.609
0.823457,1.2118,4.8425,-2.5249,5.594
0.830719,2.885,5.4076,0.3678,6.14
0.836249,4.2669,5.3967,4.2246,8.073
0.845777,4.5196,5.094,7.0803,9.824
0.855454,3.3525,4.8133,9.5776,11.231
0.865461,3.3883,4.4403,10.6189,11.998
0.875593,3.4548,3.6832,9.9985,11.201
0.88514,2.4409,2.8208,8.6842,9.451
0.905591,0.9042,2.1298,7.8751,8.208
0.906315,-0.1604,1.64,7.7484,7.922
0.921768,-0.3115,1.1677,8.2502,8.338
0.923537,0.0946,0.5685,9.2433,9.261
0.933287,0.5142,0.1882,10.1277,10.142
0.946732,0.5215,0.285,10.6982,10.715
0.952652,0.2611,0.2241,10.7623,10.768
0.962452,0.2609,-0.0406,9.8602,9.864
0.971829,0.8322,-0.194,8.0631,8.108
0.982551,1.8685,-0.2286,5.6555,5.961
0.991263,2.7951,-0.5697,2.5006,3.793
1.002881,3.0005,-0.8964,-0.9129,3.262
1.014836,2.4134,-1.0592,-3.0448,4.027
1.019998,1.219,-1.085,-3.7155,4.058
1.030582,-0.1905,-1.2516,-3.7288,3.938
1.039542,-1.2899,-1.646,-3.5514,4.121
1.049001,-2.3369,-1.7472,-3.524,4.575
1.059147,-3.3066,-1.4358,-3.4942,5.02
1.068829,-3.4764,-1.1907,-4.0571,5.474
1.080326,-3.1607,-0.952,-4.6757,5.723
1.088734,-2.5191,-0.7167,-5.2982,5.91
1.102663,-2.6629,-0.3226,-5.3399,5.976
1.108456,-2.6465,-0.3371,-5.3058,5.939
1.116904,-2.1364,-0.7709,-4.9049,5.405
1.129207,-1.825,-1.2119,-4.0243,4.582
1.13643,-1.9106,-1.2733,-2.793,3.616
1.150553,-2.2006,-1.2237,-1.572,2.968
1.156529,-2.3567,-1.238,-0.422,2.695
1.167637,-2.2696,-1.2493,0.6053,2.66
1.175196,-2.0035,-1.1888,0.7577,2.45
1.18554,-1.6515,-1.17,0.0241,2.024
1.197,-1.2582,-1.3239,-1.2831,2.232
1.204444,-0.9874,-1.5769,-2.867,3.418
1.214393,-1.0328,-1.7842,-3.8717,4.386
1.22379,-1.1495,-1.9965,-4.2314,4.818
1.234097,-1.1507,-2.1336,-4.0494,4.719
1.24678,-1.2211,-2.2631,-3.7691,4.563
1.253552,-1.2383,-2.3327,-3.6941,4.541
1.262745,-1.0756,-2.2804,-3.8371,4.591
1.276938,-0.7142,-2.0072,-4.0648,4.589
1.28231,-0.0767,-1.6457,-4.2583,4.566
1.292226,0.4685,-1.3169,-4.2447,4.469
1.303623,0.5773,-0.9445,-4.0909,4.238
1.315846,0.2647,-0.4021,-3.6989,3.73
1.320683,-0.1415,0.2688,-3.0643,3.079
1.331178,-0.5872,0.9619,-2.5182,2.759
1.340578,-1.3371,1.617,-2.0345,2.923
1.351439,-2.36,2.4964,-0.9094,3.554
1.36753,-3.0896,3.6348,0.394,4.787
1.370298,-2.8247,4.9151,1.0962,5.774
1.380681,-1.5732,5.9359,0.996,6.221
1.389485,-0.0709,6.5841,0.1287,6.586
1.406649,0.9451,7.1107,-0.8721,7.226
1.411393,1.1328,7.5944,-0.8314,7.723
1.419784,0.7985,7.7596,0.5728,7.822
1.430055,0.3471,7.6427,2.7488,8.129
1.438375,-0.5474,7.3709,4.8561,8.844
1.448132,-1.6141,6.9799,6.2116,9.482
1.457635,-2.3308,6.2802,6.3424,9.225
1.4676,-3.102,5.656,5.3637,8.389
1.477422,-4.1798,5.2787,4.3275,8.004
1.487373,-4.689,4.9248,3.9603,7.869
1.502458,-4.024,3.9847,4.4829,7.223
1.506032,-2.8676,2.416,6.1126,7.171
1.519961,-2.1291,0.886,8.2402,8.557
1.526121,-1.906,-0.4145,10.29,10.473
1.535233,-2.0817,-1.4186,12.1828,12.441
1.547814,-2.3677,-2.059,13.3752,13.738
1.555142,-2.7173,-2.3497,13.2074,13.687
1.564196,-2.8911,-2.2117,11.6909,12.244
1.574417,-2.5947,-1.7839,8.8607,9.404
1.586437,-1.7661,-1.2431,5.0395,5.483
1.593757,-0.4766,-0.6579,1.0186,1.303
1.60335,0.5421,-0.241,-2.3265,2.401
1.624113,1.0305,-0.0961,-4.7827,4.893
1.624405,1.1159,-0.4268,-6.1495,6.264
1.636739,0.927,-1.1677,-6.7321,6.895
1.641774,0.5016,-2.0531,-6.7925,7.114
1.651634,-0.0433,-2.8271,-6.5119,7.099
1.668743,-0.4259,-3.3749,-6.2003,7.072
1.671447,-0.5439,-3.7866,-5.9847,7.103
1.681057,-0.513,-4.0583,-5.6908,7.008
1.691262,-0.523,-4.3223,-5.2321,6.807
1.702837,-0.5193,-4.5604,-4.5547,6.466
1.711375,-0.5568,-4.7755,-3.9774,6.24
1.719265,-0.6852,-5.0386,-3.6799,6.277
1.731662,-0.7256,-5.1451,-3.4828,6.255
1.739878,-0.5736,-5.0937,-3.3428,6.12
1.74978,-0.3637,-4.9627,-3.3348,5.99
1.75994,-0.183,-4.7738,-3.3522,5.836
1.7688,-0.0807,-4.5538,-3.7652,5.909
1.78667,0.0768,-4.3372,-4.5394,6.279
1.787602,0.2697,-4.2682,-5.3353,6.838
1.8032,0.5612,-4.3019,-5.9641,7.375
1.808123,0.9033,-4.3406,-6.3293,7.728
1.818048,1.2102,-4.3086,-6.3781,7.792
1.827689,1.3795,-4.2549,-6.3219,7.744
1.836401,1.177,-4.1711,-6.0892,7.474
1.848183,0.8149,-4.1439,-5.6053,7.018
1.856178,0.4161,-4.1661,-5.0002,6.522
1.865852,0.1187,-4.2136,-4.3437,6.053
1.875569,0.002,-4.1504,-3.6028,5.496
1.885518,-0.069,-3.9386,-2.8666,4.872
1.895203,-0.1103,-3.668,-2.0756,4.216
1.904245,-0.1617,-3.2421,-1.2052,3.463
1.917193,-0.2057,-2.6941,-0.5897,2.766
1.923482,-0.2158,-2.2845,-0.6989,2.399
1.933959,-0.1237,-1.9201,-1.2359,2.287
1.94328,-0.1489,-1.4207,-1.9828,2.444
1.953205,-0.4214,-0.898,-2.794,2.965
1.968812,-1.0856,-0.2971,-3.4352,3.615
1.972733,-2.3179,0.4571,-4.0182,4.661
1.984889,-3.237,1.1433,-4.677,5.802
1.991867,-3.2804,2.0753,-5.4294,6.674
2.001933,-2.9663,3.2178,-6.056,7.472
2.016278,-2.6415,3.8486,-6.3919,7.915
2.020673,-2.3073,3.469,-6.2957,7.549
2.031259,-1.1572,2.5098,-5.9587,6.568
2.041685,0.6742,1.2572,-5.1345,5.329
2.049761,2.6405,0.2,-3.1857,4.143
2.061483,4.4067,-0.3075,0.3071,4.428
2.0705,6.1275,-0.3571,4.8248,7.807
2.080927,8.2672,-0.7685,8.6325,11.977
2.0888,10.187,-1.4967,11.9076,15.742
2.103297,11.9861,-1.882,16.2117,20.249
2.111955,12.8273,-1.1179,21.6245,25.168
2.117545,12.5981,0.5751,26.3307,29.195
2.127787,11.0157,2.3874,28.7869,30.915
2.137513,9.4132,2.8514,27.9106,29.593
2.149544,7.8765,2.2311,23.5395,24.922
2.156788,6.1502,1.7449,18.1665,19.259
2.166741,3.9791,1.8161,14.0015,14.669
2.176723,1.8195,2.079,11.044,11.384
2.186542,0.5344,1.9587,8.8976,9.126
2.19836,0.3148,1.487,7.009,7.172
2.211584,0.5948,0.9252,5.3826,5.494
2.21527,0.6752,0.4332,4.0812,4.159
2.224896,0.211,0.0672,2.757,2.766
2.235382,-0.5756,-0.079,1.2563,1.384
2.244589,-1.6078,-0.0648,-0.3981,1.658
2.25386,-2.6861,-0.1103,-2.0671,3.391
2.264525,-3.8025,-0.2232,-3.6922,5.305
2.273459,-4.8165,-0.4061,-5.3708,7.226
2.283228,-5.5442,-0.6231,-6.7384,8.748
2.292996,-5.0829,-1.1527,-7.7877,9.371
