time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002406,-0.9065,-0.5229,-2.4182,2.635
0.011348,-1.9298,0.167,-1.5755,2.497
0.02032,-1.9994,1.0263,-0.3726,2.278
0.030487,-0.013,1.1809,-0.895,1.482
0.040644,2.3469,0.7382,-2.7824,3.714
0.050655,2.6296,0.0821,-3.9186,4.72
0.059602,1.5915,-0.2045,-3.6265,3.966
0.071626,1.1996,-0.951,-4.221,4.49
0.078882,0.3694,-2.2807,-4.9203,5.436
0.092251,0.1209,-3.073,-5.9376,6.687
0.102235,1.0727,-3.5141,-7.6407,8.478
0.107951,1.9669,-3.2411,-7.7507,8.628
0.120831,1.8348,-3.5128,-7.0704,8.105
0.128808,-1.3258,-2.8306,-6.6836,7.378
0.139853,-12.3165,2.396,-6.7704,14.257
0.146593,-6.1011,-0.4035,-8.7118,10.643
0.157901,-3.0176,-1.3019,-7.7861,8.451
0.166966,-10.0511,2.31,7.2419,12.602
0.176449,-6.5253,3.4028,3.3912,8.103
0.190749,0.3583,0.0093,6.3665,6.377
0.19742,1.5537,-1.846,7.234,7.626
0.204815,0.9393,0.7041,8.466,8.547
0.214904,-0.0356,2.7818,7.9911,8.462
0.224746,0.7421,3.7561,5.4479,6.659
0.234046,1.707,4.9583,5.4846,7.588
0.243505,2.769,5.5398,8.2549,10.32
0.253174,2.6759,5.3539,9.4982,11.227
0.263287,1.7752,5.2,9.285,10.789
0.273391,2.1712,5.8648,10.1713,11.94
0.283295,3.6952,7.15,11.2841,13.86
0.300567,4.039,7.7752,10.2051,13.45
0.307033,2.8751,7.4028,8.1093,11.35
0.311998,1.035,6.4742,7.4794,9.946
0.322528,-0.3328,5.53,7.83,9.592
0.331539,-1.1711,4.6377,8.3013,9.581
0.341642,-2.0238,3.3698,8.789,9.628
0.351369,-1.436,2.4296,9.5995,10.006
0.361322,-0.7142,1.6087,9.6967,9.855
0.384174,-0.8478,0.2866,8.7986,8.844
0.384761,2.3696,-1.452,6.6934,7.247
0.391053,2.5849,-1.4458,6.4171,7.068
0.401948,-0.1481,-1.5262,5.5809,5.788
0.409763,-0.157,-2.7692,3.7486,4.663
0.420891,0.1148,-4.4378,1.9432,4.846
0.428823,0.56,-4.9959,-0.0664,5.028
0.4383,1.7321,-4.2412,-1.8597,4.944
0.448493,2.144,-3.178,-2.8531,4.779
0.458622,1.7161,-2.5494,-2.5493,3.993
0.46778,1.0933,-2.3558,-1.8225,3.173
0.477423,0.5445,-2.503,-2.1117,3.32
0.492465,-0.0706,-2.8883,-3.7333,4.721
0.502284,-0.85,-3.3192,-5.7902,6.728
0.507312,-1.5623,-3.6059,-7.3365,8.323
0.51661,-2.1499,-4.1117,-7.9097,9.17
0.526423,-2.5758,-4.4429,-7.9044,9.426
0.537812,-2.7557,-4.5037,-7.675,9.316
0.545281,-2.5429,-4.6207,-7.2092,8.933
0.567684,-1.9124,-4.6998,-6.5858,8.314
0.568441,-1.12,-4.5402,-5.7948,7.446
0.573803,-0.5774,-4.673,-5.9071,7.554
0.583799,-0.2569,-4.8337,-6.7984,8.346
0.595102,-0.0212,-5.0062,-7.3663,8.906
