time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001451,-1.4781,4.9178,0.586,5.169
0.008425,-0.9343,3.9716,-0.8782,4.173
0.019688,0.2227,2.7657,-2.1991,3.54
0.028683,0.9055,1.7497,-2.6852,3.33
0.037882,0.5918,0.8067,-2.2874,2.497
0.048241,-0.0514,-0.3145,-1.3448,1.382
0.058252,0.2653,-1.6172,-0.6735,1.772
0.067807,-0.2571,-2.6024,-0.7249,2.714
0.080817,-1.5837,-2.6732,-0.9444,3.247
0.087588,-2.9777,-2.2554,-1.4933,4.023
0.098481,-3.3756,-1.8005,-2.8834,4.791
0.10915,-2.8072,-1.4981,-4.6229,5.612
0.118586,-2.0253,-1.2058,-6.2261,6.657
0.125644,-0.8099,-0.3634,-7.1033,7.159
0.135403,-0.2037,-0.0596,-7.4902,7.493
0.146605,-0.3544,0.2078,-7.3684,7.38
0.154713,-0.3262,0.7053,-7.2507,7.292
0.164738,0.1735,1.561,-7.1381,7.309
0.181454,-0.1796,2.072,-6.8265,7.136
0.183544,-0.755,2.8634,-6.1538,6.829
0.195294,-1.4764,3.1913,-5.2447,6.314
0.203437,-1.0035,2.268,-4.1067,4.797
0.214112,0.3847,0.4658,-4.0206,4.066
0.226638,1.0436,-0.8988,-4.3685,4.58
0.232983,0.7946,-1.5417,-4.7235,5.032
0.243465,0.136,-1.7708,-4.4691,4.809
0.256502,-0.5466,-1.9003,-3.6676,4.167
0.261638,-1.2269,-2.0365,-2.8569,3.717
0.273026,-1.7155,-2.2243,-2.7085,3.902
0.281721,-1.7129,-2.3332,-3.0606,4.212
0.292534,-1.01,-2.2099,-3.8638,4.564
0.300749,-0.1908,-2.1825,-4.7655,5.245
0.311299,0.0482,-2.2968,-5.521,5.98
0.319946,-0.4844,-1.8244,-5.8548,6.152
0.330803,-0.9107,-1.2669,-5.3567,5.579
0.338876,-1.0145,-1.1018,-5.486,5.687
0.349108,-0.9314,-1.5928,-4.7849,5.128
0.358836,-1.0872,-1.459,-2.7457,3.294
0.368838,-1.7601,-0.4671,-0.5152,1.892
0.379505,-2.5215,1.1278,1.7145,3.251
0.38892,-2.2426,2.8125,2.4447,4.349
0.40123,0.163,4.4056,1.2382,4.579
0.410483,3.686,5.8627,-1.1756,7.024
0.416749,5.9748,7.2263,-3.3048,9.942
0.427411,6.9176,8.5088,-3.6802,11.567
0.436889,6.5877,9.1326,-1.3306,11.339
0.458186,5.0738,9.2207,2.7299,10.873
0.458555,3.4202,8.711,6.5969,11.45
0.467757,2.1011,7.9212,9.7859,12.764
0.478385,1.4715,8.3811,12.2826,14.942
0.495662,1.2298,9.4804,12.4261,15.678
0.495965,1.6525,10.05,10.9132,14.928
0.504829,2.9309,9.6808,9.388,13.8
0.515229,4.4438,8.561,8.8359,13.081
0.526243,4.6931,6.4828,9.933,12.756
0.533616,2.6282,4.0475,12.1946,13.115
0.54372,-0.4352,2.0562,14.2686,14.423
0.554425,-3.2294,0.2833,14.9404,15.288
0.564763,-5.137,-0.5859,13.5812,14.532
0.57401,-5.9251,-0.4266,10.0061,11.637
0.586275,-5.1751,0.0974,5.8933,7.844
0.592487,-3.6717,0.8753,2.4289,4.489
0.601643,-0.7004,1.103,-0.308,1.342
0.612281,2.5371,1.0732,-2.0429,3.43
0.621119,5.1235,0.9914,-3.0099,6.024
