time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003396,0.047,0.8894,0.305,0.941
0.003776,0.172,0.8186,0.2785,0.882
0.004051,0.3014,0.7564,0.1429,0.827
0.008246,0.3113,0.7841,0.1135,0.851
0.013053,0.2212,0.9064,0.3141,0.984
0.019408,0.1028,1.0369,0.5815,1.193
0.024286,0.0224,1.1373,0.8202,1.402
0.027804,0.0225,1.1594,0.8966,1.466
0.032846,0.117,1.1079,0.778,1.359
0.039745,0.3537,1.0114,0.8039,1.34
0.043038,0.6457,0.8795,0.9262,1.431
0.048338,0.9063,0.6691,0.9679,1.485
0.060048,0.9583,0.5428,0.972,1.469
0.060751,1.0787,0.3619,0.8956,1.448
0.063125,1.2383,0.3321,0.8723,1.551
0.067737,1.3306,0.4385,0.8015,1.614
0.087821,1.165,0.1752,0.4347,1.256
0.088355,0.8683,-0.2169,-0.2032,0.918
0.088624,0.3487,-0.3639,-0.586,0.773
0.089029,-0.2093,-0.2228,-0.5853,0.66
0.098516,-0.5423,0.0202,-0.5603,0.78
0.099073,-0.6418,0.2889,-0.4302,0.825
0.102754,-0.6201,0.4358,-0.2106,0.787
0.116853,-0.5182,0.4663,0.069,0.7
0.117442,-0.4105,0.4381,0.1879,0.629
0.118778,-0.299,0.3512,0.2939,0.547
0.133979,-0.137,0.2533,0.4633,0.546
0.134593,0.1416,0.1488,0.4476,0.492
0.134937,0.4606,0.0037,0.5245,0.698
0.150605,0.873,-0.1868,0.503,1.025
0.151169,1.2837,-0.2981,0.4551,1.394
0.151922,1.4022,-0.2059,0.5002,1.503
0.152348,1.4393,0.0081,0.6333,1.572
0.167208,1.496,0.3003,0.5728,1.63
0.167949,1.3726,0.6219,0.7686,1.692
0.168274,1.1181,0.9191,0.7913,1.65
0.195338,0.8483,1.1622,0.8187,1.655
0.196082,0.4113,1.5124,1.1334,1.934
0.196517,0.0942,1.7869,1.2529,2.184
0.196901,-0.3605,2.1661,1.3314,2.568
0.197224,-0.8612,2.5341,1.5988,3.118
0.205842,-1.1207,2.6654,1.3724,3.201
0.206606,-1.6062,2.8755,1.2605,3.527
0.207271,-2.3647,3.2595,1.4828,4.291
0.216202,-2.7426,3.359,1.4505,4.573
0.21779,-2.7575,3.1567,1.187,4.356
0.223663,-2.8512,3.0758,-0.0389,4.194
0.22717,-3.128,3.3446,-0.8071,4.65
0.232039,-3.3247,3.4442,0.0019,4.787
0.239908,-3.6558,3.3519,0.1476,4.962
0.242343,-3.7272,3.2739,0.137,4.963
0.247503,-3.7191,3.2626,0.3758,4.962
0.252104,-3.6962,3.5081,0.7771,5.155
0.260473,-3.7076,3.9748,0.9259,5.514
0.262478,-3.6763,4.5408,1.1629,5.957
0.266979,-3.2297,4.9698,1.8906,6.221
0.275946,-2.7223,5.1887,2.4071,6.335
0.277349,-2.5546,5.3826,2.7572,6.565
0.282061,-2.4225,5.4356,2.8618,6.603
0.286846,-2.1512,5.2614,2.9616,6.409
0.29181,-1.8197,4.7939,2.9474,5.914
0.297602,-1.2545,3.8148,2.7813,4.885
0.301915,-0.5355,2.3895,2.3053,3.363
0.306781,0.0945,1.1662,1.7435,2.1
0.311666,0.5986,0.5193,1.5961,1.782
0.317291,0.829,0.3961,1.5699,1.819
0.323186,0.6906,0.4611,1.4873,1.703
0.327214,0.3175,0.4462,1.5252,1.621
0.331519,-0.076,0.2793,1.6691,1.694
0.339955,-0.4049,0.0414,1.8236,1.868
0.341818,-0.7224,-0.1674,1.7881,1.936
0.346576,-0.9947,-0.2715,1.726,2.011
0.351337,-1.1403,-0.3001,1.6378,2.018
0.360883,-1.2305,-0.23,1.4474,1.914
0.361805,-1.351,-0.171,1.0403,1.714
0.36713,-1.444,-0.2228,0.5551,1.563
0.378242,-1.4659,-0.3363,0.1727,1.514
0.37879,-1.4505,-0.4142,-0.1945,1.521
0.381968,-1.4597,-0.4503,-0.6816,1.673
0.386877,-1.4445,-0.5293,-1.1082,1.896
0.391185,-1.2979,-0.6351,-1.3374,1.969
0.39684,-1.2473,-0.7715,-1.2611,1.934
0.401347,-1.2769,-0.8565,-1.0192,1.845
0.406211,-1.2725,-0.8616,-0.9087,1.785
0.411217,-1.3412,-0.8163,-0.9862,1.854
0.416766,-1.3944,-0.7928,-1.1411,1.968
0.423157,-1.4621,-0.8782,-1.0856,2.022
0.426127,-1.502,-1.0589,-0.6666,1.955
0.430894,-1.5242,-1.2357,-0.1369,1.967
0.436477,-1.5488,-1.3955,0.1986,2.094
0.441106,-1.5479,-1.5159,0.2462,2.181
0.446045,-1.5318,-1.6414,0.1652,2.251
0.450741,-1.5293,-1.7396,0.1243,2.32
0.458651,-1.5505,-1.8211,0.0668,2.393
0.461924,-1.6153,-1.8579,-0.0592,2.463
0.465808,-1.6814,-1.8841,-0.3105,2.544
0.473695,-1.7254,-1.9188,-0.6247,2.655
